"","tmp.pclas","tmp.survived","tmp.age"
"1",1,1,29
"2",1,1,0.9167
"3",1,0,2
"4",1,0,30
"5",1,0,25
"6",1,1,48
"7",1,1,63
"8",1,0,39
"9",1,1,53
"10",1,0,71
"11",1,0,47
"12",1,1,18
"13",1,1,24
"14",1,1,26
"15",1,1,80
"16",1,0,55.9637373328325
"17",1,0,24
"18",1,1,50
"19",1,1,32
"20",1,0,36
"21",1,1,37
"22",1,1,47
"23",1,1,26
"24",1,1,42
"25",1,1,29
"26",1,0,25
"27",1,1,25
"28",1,1,19
"29",1,1,35
"30",1,1,28
"31",1,0,45
"32",1,1,40
"33",1,1,30
"34",1,1,58
"35",1,0,42
"36",1,1,45
"37",1,1,22
"38",1,1,50.6972531944469
"39",1,0,41
"40",1,0,48
"41",1,0,62.8076158823098
"42",1,1,44
"43",1,1,59
"44",1,1,60
"45",1,1,41
"46",1,0,45
"47",1,0,51.3706067498713
"48",1,1,42
"49",1,1,53
"50",1,1,36
"51",1,1,58
"52",1,0,33
"53",1,0,28
"54",1,0,17
"55",1,1,11
"56",1,1,14
"57",1,1,36
"58",1,1,36
"59",1,0,49
"60",1,1,21.6350938716577
"61",1,0,36
"62",1,1,76
"63",1,0,46
"64",1,1,47
"65",1,1,27
"66",1,1,33
"67",1,1,36
"68",1,1,30
"69",1,1,45
"70",1,1,35.8289257504796
"71",1,0,23.1882038503981
"72",1,0,27
"73",1,1,26
"74",1,1,22
"75",1,0,25.7968236816672
"76",1,0,47
"77",1,1,39
"78",1,0,37
"79",1,1,64
"80",1,1,55
"81",1,0,47.4586913976782
"82",1,0,70
"83",1,1,36
"84",1,1,64
"85",1,0,39
"86",1,1,38
"87",1,1,51
"88",1,1,27
"89",1,1,33
"90",1,0,31
"91",1,1,27
"92",1,1,31
"93",1,1,17
"94",1,1,53
"95",1,1,4
"96",1,1,54
"97",1,0,50
"98",1,1,27
"99",1,1,48
"100",1,1,48
"101",1,1,49
"102",1,0,39
"103",1,1,23
"104",1,1,38
"105",1,1,54
"106",1,0,36
"107",1,0,35.755967292641
"108",1,1,40.4234563164705
"109",1,1,29.7044052169935
"110",1,1,36
"111",1,0,30
"112",1,1,24
"113",1,1,28
"114",1,1,23
"115",1,0,19
"116",1,0,64
"117",1,1,60
"118",1,1,30
"119",1,0,26.3786439237329
"120",1,1,50
"121",1,1,43
"122",1,1,54.5981194586659
"123",1,1,22
"124",1,1,60
"125",1,1,48
"126",1,0,75.2293240407402
"127",1,0,37
"128",1,1,35
"129",1,0,47
"130",1,1,35
"131",1,1,22
"132",1,1,45
"133",1,0,24
"134",1,1,49
"135",1,1,17.5395093786068
"136",1,0,71
"137",1,1,53
"138",1,1,19
"139",1,0,38
"140",1,1,58
"141",1,1,23
"142",1,1,45
"143",1,0,46
"144",1,1,25
"145",1,1,25
"146",1,1,48
"147",1,1,49
"148",1,0,30.3411099132372
"149",1,0,45
"150",1,1,35
"151",1,0,40
"152",1,1,27
"153",1,1,15.0998538358101
"154",1,1,24
"155",1,0,55
"156",1,1,52
"157",1,0,42
"158",1,0,38.0243660004908
"159",1,0,55
"160",1,1,16
"161",1,1,44
"162",1,1,51
"163",1,0,42
"164",1,1,35
"165",1,1,35
"166",1,1,38
"167",1,0,54.3455371571312
"168",1,1,35
"169",1,1,38
"170",1,0,50
"171",1,1,49
"172",1,0,46
"173",1,0,50
"174",1,0,32.5
"175",1,0,58
"176",1,0,41
"177",1,1,21.6006454801809
"178",1,1,42
"179",1,1,45
"180",1,0,68.326207631163
"181",1,1,39
"182",1,1,49
"183",1,1,30
"184",1,1,35
"185",1,0,34.5381646574048
"186",1,0,42
"187",1,1,55
"188",1,1,16
"189",1,1,51
"190",1,0,29
"191",1,1,21
"192",1,0,30
"193",1,1,58
"194",1,1,15
"195",1,0,30
"196",1,1,16
"197",1,1,44.4291562150505
"198",1,0,19
"199",1,1,18
"200",1,1,24
"201",1,0,46
"202",1,0,54
"203",1,1,36
"204",1,0,28
"205",1,1,54.1575661841505
"206",1,0,65
"207",1,0,44
"208",1,1,33
"209",1,1,37
"210",1,1,30
"211",1,0,55
"212",1,0,47
"213",1,0,37
"214",1,1,31
"215",1,1,23
"216",1,0,58
"217",1,1,19
"218",1,0,64
"219",1,1,39
"220",1,1,21.985861681437
"221",1,1,22
"222",1,0,65
"223",1,0,28.5
"224",1,0,16.2003702918481
"225",1,0,45.5
"226",1,0,23
"227",1,0,29
"228",1,1,22
"229",1,0,18
"230",1,1,17
"231",1,1,30
"232",1,1,52
"233",1,0,47
"234",1,1,56
"235",1,0,38
"236",1,1,40.7624049014024
"237",1,0,22
"238",1,0,47.6283211634855
"239",1,1,43
"240",1,0,31
"241",1,1,45
"242",1,0,44.4070491679742
"243",1,1,33
"244",1,0,46
"245",1,0,36
